City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,saint-pierre,-21.3393,55.4781,26.82,89,100,2.57,RE,1705954671
110,lubango,-14.9172,13.4925,16.26,75,82,1.41,AO,1705954671
111,guerrero negro,27.9769,-114.0611,17.59,75,100,0.27,MX,1705954671
112,el jadid,33.2549,-8.506,14.9,74,0,6.45,MA,1705954672
113,lompoc,34.6391,-120.4579,18.08,55,100,5.66,US,1705954672
114,lichuan,30.3,108.85,-4.36,79,88,1.73,CN,1705954672
115,knyaze-volkonskoye,48.4642,135.4567,-23.81,95,100,2.24,RU,1705954672
116,constantia,44.1833,28.65,-7.62,78,88,1.57,RO,1705954673
117,klaksvik,62.2266,-6.589,3.51,89,100,3.61,FO,1705954673
118,puerto ayora,-0.7393,-90.3518,30.98,93,23,3.13,EC,1705954673
119,kabo,7.6994,18.629,24.58,11,0,2.39,CF,1705954674
120,hawaiian paradise park,19.5933,-154.9731,26.05,83,75,0.45,US,1705954674
121,parang,7.3704,124.2697,23.18,92,100,1.39,PH,1705954674
122,rabaul,-4.1967,152.1721,27.44,80,100,3.79,PG,1705954674
123,sebastopol,44.6,33.5333,1.97,70,38,2.1,UA,1705954652
124,gaiman,-43.2897,-65.4929,34.39,24,1,8.74,AR,1705954675
125,obo,5.3998,26.4869,24.5,20,13,1.01,CF,1705954675
126,el obeid,13.1842,30.2167,20.09,19,90,4.17,SD,1705954675
127,ca mau,9.1769,105.15,24.4,83,43,4.15,VN,1705954556
128,wailua homesteads,22.0669,-159.378,26.24,72,75,7.2,US,1705954675
129,zhanaozen,43.3,52.8,-2.8,82,100,8.36,KZ,1705954676
130,jutai,-5.1833,-68.9,23.84,99,100,0.64,BR,1705954676
131,vadso,70.0744,29.7487,-1.91,80,75,8.75,NO,1705954676
132,rio grande,-32.035,-52.0986,25.06,59,86,7.45,BR,1705954676
133,port alfred,-33.5906,26.891,18.99,91,100,1.34,ZA,1705954677
134,mount gambier,-37.8333,140.7667,11.24,73,35,2.71,AU,1705954677
135,polyarnyy,69.1989,33.4478,-7.43,87,100,4.12,RU,1705954677
136,sooke,48.3746,-123.7276,9.27,95,100,7.72,CA,1705954678
137,benalla,-36.55,145.9833,15.22,73,64,2.67,AU,1705954453
138,hermanus,-34.4187,19.2345,18.22,72,23,9.35,ZA,1705954678
139,rosetta,31.4044,30.4164,16.65,70,93,10.0,EG,1705954678
140,sao joao da barra,-21.6403,-41.0511,26.05,78,2,7.13,BR,1705954679
141,tazovsky,67.4667,78.7,-8.55,93,100,8.46,RU,1705954679
142,berber,18.0216,33.983,24.74,36,53,5.21,SD,1705954679
143,fisterra,42.9049,-9.2629,15.42,98,100,5.12,ES,1705954680
144,inhambane,-23.865,35.3833,24.59,83,11,4.53,MZ,1705954680
145,afaahiti,-17.75,-149.2833,29.93,78,99,7.08,PF,1705954681
146,salalah,17.0151,54.0924,23.05,16,0,3.6,OM,1705954681
147,selfoss,63.9331,-20.9971,-11.51,84,66,1.78,IS,1705954681
148,taltal,-25.4,-70.4833,22.82,68,24,3.02,CL,1705954681
149,katsuura,35.1333,140.3,14.01,67,14,10.1,JP,1705954535
150,pitiquito,30.7,-112.0833,19.26,49,100,3.71,MX,1705954682
151,chonchi,-42.6128,-73.8092,25.56,36,0,1.5,CL,1705954682
152,yuzhno-kurilsk,44.0306,145.8556,-2.01,69,100,7.12,RU,1705954682
153,ulladulla,-35.35,150.4667,17.65,86,100,1.35,AU,1705954589
154,zhangjiakou,40.81,114.8794,-18.39,74,45,3.9,CN,1705954683
155,talnakh,69.4865,88.3972,-8.2,93,100,6.92,RU,1705954683
